split,test_start,test_end,n_test,best_iter,mae,rmse
0,2014-07-01 00:21:00+00:00,2014-09-30 23:20:00+00:00,1552,109,0.0001462398487579365,0.0002959800931396429
1,2014-10-01 00:21:00+00:00,2014-12-31 16:12:00+00:00,1546,65,0.0002872055750558909,0.0005472826027023222
2,2015-01-01 13:13:00+00:00,2015-03-31 23:08:00+00:00,1518,136,0.0007124393428849593,0.0013398400591036128
3,2015-04-01 00:08:00+00:00,2015-06-30 23:41:00+00:00,1558,592,0.0006444390431912118,0.0013964774041172858
4,2015-07-01 00:43:00+00:00,2015-09-30 23:29:00+00:00,1580,87,0.00034283220926829394,0.0006704394119091288
5,2015-10-01 00:29:00+00:00,2015-12-31 16:41:00+00:00,1548,95,0.00044408684396030377,0.001384453817732593
6,2016-01-03 17:42:00+00:00,2016-03-31 23:39:00+00:00,1541,553,0.00039195492724685495,0.0009571864292917323
7,2016-04-01 00:39:00+00:00,2016-06-30 23:44:00+00:00,1558,422,0.00034378979647673125,0.0010137427013118757
8,2016-07-01 00:44:00+00:00,2016-09-30 16:39:00+00:00,1572,110,0.00023202591490488836,0.0004387322574282079
9,2016-10-02 17:39:00+00:00,2016-12-30 16:22:00+00:00,1540,144,0.0002978921368634814,0.0007415258019717321
10,2017-01-02 02:25:00+00:00,2017-03-31 16:21:00+00:00,1549,99,0.00021297587626043922,0.0005059955882333715
11,2017-04-02 17:22:00+00:00,2017-06-30 16:29:00+00:00,1557,135,0.00024939208871326923,0.0006724935126739627
12,2017-07-02 17:29:00+00:00,2017-09-29 16:26:00+00:00,1557,74,0.00021446476189120294,0.0004126615297594425
